ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_kg,Arrived_on_Time,Weight_Category
1,D,Flight,4,2,177,3,low,F,44,1.2,1,Light
2,F,Flight,4,5,216,2,low,M,59,3.1,1,Medium
3,A,Flight,2,2,183,4,low,M,48,3.4,1,Medium
4,B,Flight,3,3,176,4,medium,M,10,1.2,1,Light
5,C,Flight,2,2,184,3,medium,F,46,2.5,1,Medium
6,F,Flight,3,1,162,3,medium,F,12,1.4,1,Light
7,D,Flight,3,4,250,3,low,F,3,2.4,1,Medium
8,F,Flight,4,1,233,2,low,F,48,2.8,1,Medium
9,A,Flight,3,4,150,3,low,F,11,1.9,1,Light
10,B,Flight,3,2,164,3,medium,F,29,1.2,1,Light
11,C,Flight,3,4,189,2,medium,M,12,2.9,1,Medium
12,F,Flight,4,5,232,3,medium,F,32,3.3,1,Medium
13,D,Flight,3,5,198,3,medium,F,1,3.7,1,Medium
14,F,Flight,4,4,275,3,high,M,29,2.6,1,Medium
15,A,Flight,4,3,152,3,low,M,43,1,1,Light
16,B,Flight,4,3,227,3,low,F,45,2.7,1,Medium
17,C,Flight,3,4,143,2,medium,F,6,1.2,1,Light
18,F,Ship,5,5,227,3,medium,M,36,4,1,Heavy
19,D,Ship,5,5,239,3,high,M,18,2.5,1,Medium
20,F,Ship,4,5,145,3,medium,M,45,1.1,1,Light
21,A,Ship,3,3,161,2,medium,F,38,1.5,1,Light
22,B,Ship,3,1,232,4,medium,F,51,2.9,1,Medium
23,C,Ship,2,5,156,2,low,M,2,1.8,1,Light
24,F,Ship,4,3,211,3,high,M,12,3.9,1,Medium
25,D,Ship,4,5,251,2,medium,F,28,3.6,1,Medium
26,F,Ship,3,1,225,4,low,M,29,3.5,1,Medium
27,A,Ship,4,1,172,3,high,F,24,1.1,1,Light
28,B,Ship,5,1,162,3,medium,M,31,1.4,1,Light
29,C,Ship,2,3,234,4,low,M,44,3.1,1,Medium
30,F,Ship,5,4,183,2,low,F,36,3.8,1,Medium
31,D,Ship,3,4,266,2,medium,F,38,2.7,1,Medium
32,F,Ship,5,3,257,2,low,F,61,3.3,1,Medium
33,A,Ship,3,1,223,3,low,F,22,3.8,1,Medium
34,B,Ship,4,2,234,3,medium,M,4,3.3,1,Medium
35,C,Ship,4,2,227,4,medium,F,22,2.5,1,Medium
36,F,Ship,5,4,149,3,medium,F,44,1.8,1,Light
37,D,Ship,3,5,137,4,high,F,62,1.5,1,Light
38,F,Ship,2,4,181,6,medium,F,16,3.6,1,Medium
39,A,Ship,5,1,215,4,low,F,56,3.9,1,Medium
40,B,Ship,4,2,269,5,low,F,45,2.4,1,Medium
41,C,Ship,5,1,227,2,low,M,15,3.8,1,Medium
42,F,Ship,5,5,139,4,medium,M,61,1.3,1,Light
43,D,Ship,3,5,137,2,medium,M,38,1.6,1,Light
44,F,Ship,3,1,174,2,low,M,44,1.6,1,Light
45,A,Ship,3,1,151,2,low,M,29,1.3,1,Light
46,B,Ship,5,1,210,3,low,F,9,2.9,1,Medium
47,C,Ship,3,4,169,4,medium,F,32,1.2,1,Light
48,F,Ship,5,1,160,2,low,M,32,1.6,1,Light
49,D,Ship,5,4,190,2,medium,M,9,3.8,1,Medium
50,F,Ship,5,3,216,3,low,F,40,2.1,1,Medium
51,A,Ship,4,1,183,3,low,M,37,2,1,Medium
52,B,Ship,4,4,141,3,low,M,22,1.7,1,Light
53,C,Ship,4,3,165,3,low,F,44,1.3,1,Light
54,F,Ship,2,1,170,3,low,M,41,1.1,1,Light
55,D,Ship,4,3,203,3,high,M,12,3.5,1,Medium
56,F,Ship,2,5,246,5,low,M,46,2.4,1,Medium
57,A,Ship,3,3,238,3,low,F,61,3.1,1,Medium
58,B,Ship,3,3,193,3,medium,F,29,3.5,1,Medium
59,C,Ship,5,5,141,3,high,M,41,1.4,1,Light
60,F,Ship,4,1,150,3,high,F,17,1.9,1,Light
61,D,Ship,3,1,221,3,low,F,64,2.8,1,Medium
62,F,Ship,3,3,179,3,medium,M,52,1.2,1,Light
63,A,Ship,5,1,105,6,medium,M,62,1.3,1,Light
64,B,Ship,3,1,177,3,medium,M,61,1.9,1,Light
65,C,Ship,4,5,261,2,high,M,49,3,1,Medium
66,F,Ship,3,2,202,3,low,M,49,2.9,1,Medium
67,D,Ship,3,2,109,3,medium,F,15,1.7,1,Light
68,F,Ship,3,3,158,3,low,F,6,1.9,1,Light
69,A,Ship,4,2,231,4,medium,F,6,2.5,1,Medium
70,B,Ship,3,5,206,3,medium,M,39,2.9,1,Medium
71,C,Ship,5,1,187,4,high,M,14,3.8,1,Medium
72,F,Ship,5,5,230,2,low,F,2,2.2,1,Medium
73,D,Ship,5,5,232,3,medium,F,33,3,1,Medium
74,F,Ship,4,5,215,3,medium,F,21,4,1,Heavy
75,A,Ship,6,1,238,6,low,F,13,2.4,1,Medium
76,B,Ship,4,1,266,3,low,F,23,3.8,1,Medium
77,C,Ship,2,3,158,2,medium,F,36,1.8,1,Light
78,F,Ship,3,3,113,3,low,F,43,1.5,1,Light
79,D,Ship,3,4,223,3,low,M,18,4,1,Heavy
80,F,Ship,3,5,257,2,medium,F,56,3.7,1,Medium
81,A,Ship,3,4,180,2,medium,F,49,1.9,1,Light
82,B,Ship,2,5,132,3,low,M,18,1.8,1,Light
83,C,Ship,4,4,217,3,high,F,26,2.9,1,Medium
84,F,Ship,5,5,162,3,high,F,31,1.4,1,Light
85,D,Ship,4,5,197,2,medium,F,40,2.7,1,Medium
86,F,Ship,3,4,197,3,medium,M,13,2.1,1,Medium
87,A,Ship,4,1,185,2,low,M,44,2.9,1,Medium
88,B,Ship,6,2,278,3,medium,F,3,3,1,Medium
89,C,Ship,3,3,229,3,low,M,49,2.3,1,Medium
90,F,Ship,4,1,186,4,medium,F,57,3.9,1,Medium
91,D,Ship,5,3,174,6,high,F,41,1.1,1,Light
92,F,Ship,5,5,286,3,low,F,18,3.2,1,Medium
93,A,Ship,4,4,175,2,medium,F,7,1.2,1,Light
94,B,Ship,3,3,219,3,medium,F,17,3.4,1,Medium
95,C,Ship,4,1,213,4,high,F,35,2.3,1,Medium
96,F,Ship,2,3,235,3,low,M,57,2,1,Medium
97,D,Ship,3,3,149,2,medium,M,18,1.2,1,Light
98,F,Ship,4,1,271,2,medium,F,8,2.4,1,Medium
99,A,Ship,3,5,144,4,medium,M,5,1.1,1,Light
100,B,Ship,4,2,145,2,medium,M,21,1.6,1,Light
101,C,Ship,5,3,143,2,medium,M,59,1.8,1,Light
102,F,Ship,5,5,227,4,low,M,53,2.6,1,Medium
103,D,Ship,2,1,213,3,low,M,29,2.7,1,Medium
104,F,Ship,5,1,144,4,low,M,37,1.7,1,Light
105,A,Ship,3,3,218,3,low,M,3,2.3,1,Medium
106,B,Ship,4,2,144,3,medium,M,59,1.6,1,Light
107,C,Ship,3,1,238,3,low,M,17,2.6,1,Medium
108,F,Ship,4,5,216,3,high,M,26,2.1,1,Medium
109,D,Ship,4,5,238,3,high,F,55,3.3,1,Medium
110,F,Ship,4,1,141,3,medium,M,47,1.3,1,Light
111,A,Road,3,1,158,2,low,M,2,1.3,1,Light
112,B,Road,4,2,239,3,low,F,65,3.7,1,Medium
113,C,Road,4,3,175,2,low,M,25,1.8,1,Light
114,F,Road,3,2,263,3,low,M,41,2.8,1,Medium
115,D,Road,3,5,168,2,high,M,50,1.6,1,Light
116,F,Road,3,4,176,3,high,M,36,1.8,1,Light
